date	edition	section	page	length	head	hash	year	month
text592162	2016-01-06	朝刊	川崎・１地方	25	239	市・市議会が賀詞交換　／神奈川県	bb59c4b3befee75185917cc8ebc2358b	2016	1
text592163	2016-01-06	朝刊	三重全県・１地方	25	387	自民・山本氏が出馬表明　参院選　／三重県	89b158ff33bf0971f8598f30dd7c9272	2016	1
text592164	2016-01-06	朝刊	岐阜全県・１地方	25	1399	（杉原千畝をたずねて：５）６０年経て名誉回復　イスラエルから賞　／岐阜県	f8e51157d662c02f023c987bcd7d342d	2016	1
text592165	2016-01-06	朝刊	岩手全県・１地方	25	345	政権の改憲姿勢批判　「緊急事態条項」も警戒　知事　／岩手県	7428c32e6b2eb381de76e718923fa6f3	2016	1
text592166	2016-01-06	朝刊	山形・１地方	25	204	「地方の底力を」舟山氏が抱負　連合山形旗開き　／山形県	f4943062a633fa35f8a14f83a1e6e805	2016	1
text592167	2016-01-06	朝刊	ちば首都圏・１地方	25	1684	（わたしらしく　そこに憲法：５）ラッパーも、雇われ店長も、社会は変えられる／千葉県	ef6790803d3209c790c3dc365a7a0753	2016	1
text592168	2016-01-06	朝刊	長野東北信・１地方	25	1713	杉尾氏、出馬「前向き」　「党公認で」民主県連が要請　夏の参院選　／長野県	85d0e7bb29d36a716d099ece73ef3e55	2016	1
text592169	2016-01-06	朝刊	山口・１地方	27	402	参院選への課題、自民３議員語る　岸・北村・江島各氏　／山口県	3776e81020d3b4d7236167961b999d8c	2016	1
text592170	2016-01-06	朝刊	山口・１地方	27	1570	（１８歳が選ぶ）「関心あるテーマ」４位　介護、年金などの社会保障　／山口県	e8b5549da9f070d59735828c220d7b8a	2016	1
text592171	2016-01-06	朝刊	石川全県・１地方	29	371	連合石川が柴田氏の推薦を決定、共産は協議の場求める　／石川県	979a692481c6a14e2df3313b9522fa70	2016	1
text592172	2016-01-07	朝刊	１総合	1	2399	北朝鮮が核実験　「初の水爆」に韓国懐疑的　中国に通報せず強行	6917c473d357f7b2a78487cd43c1c00a	2016	1
text592173	2016-01-07	朝刊	１総合	1	644	（天声人語）北朝鮮が「水爆実験」	cfb25c3e69af953ebef2cb476fad0258	2016	1
text592174	2016-01-07	夕刊	１総合	1	608	首相、独自制裁の強化検討　オバマ大統領と電話協議　北朝鮮核実験	a7f2030c20cf71de796f647b377c5eb3	2016	1
text592175	2016-01-07	朝刊	１総合	1	624	大阪府教委、私学も所管　組織改編し「教育庁」　府提案へ　【大阪】	6792a061e537c4556946ed2fcdd88e48	2016	1
text592176	2016-01-07	朝刊	２総合	2	3565	（時時刻刻）核実験、周到に計画　日米韓、兆候つかめず　５月に党大会　軍、正恩氏に忠誠心	8932f9cf61df228862482b841f83abfc	2016	1
text592177	2016-01-07	夕刊	２総合	2	129	南沙へ飛行、写真を掲載　中国各紙	1ff4b3b41d36df2128f62954322cd9a9	2016	1
text592178	2016-01-07	夕刊	２総合	2	1328	米韓国防相、対応案を議論　核実験「朝鮮半島の脅威」	3fdfd353e92221c3ec141b6c648caefb	2016	1
text592179	2016-01-07	朝刊	３総合	3	947	拉致協議に影響必至　北朝鮮核実験	ca64083690543e762e01451cc7fddab2	2016	1
text592180	2016-01-07	朝刊	３総合	3	1772	制裁強化、中国が鍵　「最大の後ろ盾」関係悪化　北朝鮮核実験	00f8d017f1a33738a32924273d03ced6	2016	1
text592181	2016-01-07	朝刊	４総合	4	1907	（考２０１６：３）社会と多様性　翻訳家・池田香代子さん　一色に染める空気、異論のノイズ必要	c82ebe47c7c3e09bda35361f7b9026bb	2016	1
text592182	2016-01-07	朝刊	４総合	4	1347	参院選控え、国会はや過熱　野党―将来負担増、争点化狙う　首相―政策提案逃げ腰と批判	c4ef882ddea910e545395d96f691a0f3	2016	1
text592183	2016-01-07	夕刊	大芸能１	4	858	シカゴ、サタデーは長い夜　活動半世紀、各時代の曲網羅　９日来日公演　【大阪】	cd1ae2cca2840c3f0d7efe1b644bd628	2016	1
